DESCRIZIONE COMUNE	CODICE ELETTORALE	CODICE ISTAT	CODICE BELFIORE	Regione	Provincia
ACQUASPARTA	103040800010	55001	A045	Umbria	Terni
ALLERONA	103040800020	55002	A207	Umbria	Terni
ALVIANO	103040800030	55003	A242	Umbria	Terni
AMELIA	103040800040	55004	A262	Umbria	Terni
ARRONE	103040800050	55005	A439	Umbria	Terni
ASSISI	103040580010	54001	A475	Umbria	Perugia
ATTIGLIANO	103040800060	55006	A490	Umbria	Terni
AVIGLIANO UMBRO	103040800061	55033	M258	Umbria	Terni
BASCHI	103040800070	55007	A691	Umbria	Terni
BASTIA UMBRA	103040580020	54002	A710	Umbria	Perugia
BETTONA	103040580030	54003	A832	Umbria	Perugia
BEVAGNA	103040580040	54004	A835	Umbria	Perugia
CALVI DELL'UMBRIA	103040800080	55008	B446	Umbria	Terni
CAMPELLO SUL CLITUNNO	103040580050	54005	B504	Umbria	Perugia
CANNARA	103040580060	54006	B609	Umbria	Perugia
CASCIA	103040580070	54007	B948	Umbria	Perugia
CASTEL GIORGIO	103040800090	55009	C117	Umbria	Terni
CASTEL RITALDI	103040580080	54008	C252	Umbria	Perugia
CASTEL VISCARDO	103040800100	55010	C289	Umbria	Terni
CASTIGLIONE DEL LAGO	103040580090	54009	C309	Umbria	Perugia
CERRETO DI SPOLETO	103040580100	54010	C527	Umbria	Perugia
CITERNA	103040580110	54011	C742	Umbria	Perugia
CITTA' DELLA PIEVE	103040580120	54012	C744	Umbria	Perugia
CITTA' DI CASTELLO	103040580130	54013	C745	Umbria	Perugia
COLLAZZONE	103040580140	54014	C845	Umbria	Perugia
CORCIANO	103040580150	54015	C990	Umbria	Perugia
COSTACCIARO	103040580160	54016	D108	Umbria	Perugia
DERUTA	103040580170	54017	D279	Umbria	Perugia
FABRO	103040800110	55011	D454	Umbria	Terni
FERENTILLO	103040800120	55012	D538	Umbria	Terni
FICULLE	103040800130	55013	D570	Umbria	Terni
FOLIGNO	103040580180	54018	D653	Umbria	Perugia
FOSSATO DI VICO	103040580190	54019	D745	Umbria	Perugia
FRATTA TODINA	103040580200	54020	D787	Umbria	Perugia
GIANO DELL'UMBRIA	103040580210	54021	E012	Umbria	Perugia
GIOVE	103040800140	55014	E045	Umbria	Terni
GUALDO CATTANEO	103040580220	54022	E229	Umbria	Perugia
GUALDO TADINO	103040580230	54023	E230	Umbria	Perugia
GUARDEA	103040800150	55015	E241	Umbria	Terni
GUBBIO	103040580240	54024	E256	Umbria	Perugia
LISCIANO NICCONE	103040580250	54025	E613	Umbria	Perugia
LUGNANO IN TEVERINA	103040800160	55016	E729	Umbria	Terni
MAGIONE	103040580260	54026	E805	Umbria	Perugia
MARSCIANO	103040580270	54027	E975	Umbria	Perugia
MASSA MARTANA	103040580280	54028	F024	Umbria	Perugia
MONTE CASTELLO DI VIBIO	103040580290	54029	F456	Umbria	Perugia
MONTE SANTA MARIA TIBERINA	103040580320	54032	F629	Umbria	Perugia
MONTECASTRILLI	103040800170	55017	F457	Umbria	Terni
MONTECCHIO	103040800180	55018	F462	Umbria	Terni
MONTEFALCO	103040580300	54030	F492	Umbria	Perugia
MONTEFRANCO	103040800190	55019	F510	Umbria	Terni
MONTEGABBIONE	103040800200	55020	F513	Umbria	Terni
MONTELEONE D'ORVIETO	103040800210	55021	F543	Umbria	Terni
MONTELEONE DI SPOLETO	103040580310	54031	F540	Umbria	Perugia
MONTONE	103040580330	54033	F685	Umbria	Perugia
NARNI	103040800220	55022	F844	Umbria	Terni
NOCERA UMBRA	103040580340	54034	F911	Umbria	Perugia
NORCIA	103040580350	54035	F935	Umbria	Perugia
ORVIETO	103040800230	55023	G148	Umbria	Terni
OTRICOLI	103040800240	55024	G189	Umbria	Terni
PACIANO	103040580360	54036	G212	Umbria	Perugia
PANICALE	103040580370	54037	G308	Umbria	Perugia
PARRANO	103040800250	55025	G344	Umbria	Terni
PASSIGNANO SUL TRASIMENO	103040580380	54038	G359	Umbria	Perugia
PENNA IN TEVERINA	103040800260	55026	G432	Umbria	Terni
PERUGIA	103040580390	54039	G478	Umbria	Perugia
PIEGARO	103040580400	54040	G601	Umbria	Perugia
PIETRALUNGA	103040580410	54041	G618	Umbria	Perugia
POGGIODOMO	103040580420	54042	G758	Umbria	Perugia
POLINO	103040800270	55027	G790	Umbria	Terni
PORANO	103040800280	55028	G881	Umbria	Terni
PRECI	103040580430	54043	H015	Umbria	Perugia
SAN GEMINI	103040800290	55029	H857	Umbria	Terni
SAN GIUSTINO	103040580440	54044	H935	Umbria	Perugia
SAN VENANZO	103040800300	55030	I381	Umbria	Terni
SANT'ANATOLIA DI NARCO	103040580450	54045	I263	Umbria	Perugia
SCHEGGIA E PASCELUPO	103040580460	54046	I522	Umbria	Perugia
SCHEGGINO	103040580470	54047	I523	Umbria	Perugia
SELLANO	103040580480	54048	I585	Umbria	Perugia
SIGILLO	103040580490	54049	I727	Umbria	Perugia
SPELLO	103040580500	54050	I888	Umbria	Perugia
SPOLETO	103040580510	54051	I921	Umbria	Perugia
STRONCONE	103040800310	55031	I981	Umbria	Terni
TERNI	103040800320	55032	L117	Umbria	Terni
TODI	103040580520	54052	L188	Umbria	Perugia
TORGIANO	103040580530	54053	L216	Umbria	Perugia
TREVI	103040580540	54054	L397	Umbria	Perugia
TUORO SUL TRASIMENO	103040580550	54055	L466	Umbria	Perugia
UMBERTIDE	103040580560	54056	D786	Umbria	Perugia
VALFABBRICA	103040580570	54057	L573	Umbria	Perugia
VALLO DI NERA	103040580580	54058	L627	Umbria	Perugia
VALTOPINA	103040580590	54059	L653	Umbria	Perugia
